name,boss_num,prog_time,guild_name
Shriekwing,0,0.24327,Fap Stars auch
Huntsman Altimor,1,0.52836,Fap Stars auch
Hungering Destroyer,2,1.26945,Fap Stars auch
Sun King's Salvation,3,1.13081,Fap Stars auch
Artificer Xy'mox,4,1.09223,Fap Stars auch
Lady Inerva Darkvein,5,1.95545,Fap Stars auch
The Council of Blood,6,8.70643,Fap Stars auch
Sludgefist,7,7.89068,Fap Stars auch
Stone Legion Generals,8,18.29331,Fap Stars auch
Sire Denathrius,9,28.90696,Fap Stars auch
Shriekwing,0,0.28308,Muteki
Huntsman Altimor,1,1.10792,Muteki
Hungering Destroyer,2,4.21818,Muteki
Sun King's Salvation,3,0.02669,Muteki
Lady Inerva Darkvein,5,3.62681,Muteki
Shriekwing,0,0.20315,Northern Sky
Huntsman Altimor,1,0.58919,Northern Sky
Hungering Destroyer,2,2.12725,Northern Sky
Sun King's Salvation,3,1.10725,Northern Sky
Artificer Xy'mox,4,2.26119,Northern Sky
Lady Inerva Darkvein,5,1.63941,Northern Sky
The Council of Blood,6,3.62636,Northern Sky
Sludgefist,7,6.82207,Northern Sky
Stone Legion Generals,8,16.86764,Northern Sky
Sire Denathrius,9,5.55812,Northern Sky
Shriekwing,0,0.41615,Koopa Troopa
Huntsman Altimor,1,0.88441,Koopa Troopa
Hungering Destroyer,2,1.75489,Koopa Troopa
Sun King's Salvation,3,2.01255,Koopa Troopa
Artificer Xy'mox,4,1.05117,Koopa Troopa
Lady Inerva Darkvein,5,2.09511,Koopa Troopa
The Council of Blood,6,7.94703,Koopa Troopa
Sludgefist,7,6.23307,Koopa Troopa
Stone Legion Generals,8,9.16395,Koopa Troopa
Sire Denathrius,9,0.05168,Koopa Troopa
Shriekwing,0,0.46635,Mechanically Deaf
Huntsman Altimor,1,1.38783,Mechanically Deaf
Hungering Destroyer,2,6.14,Mechanically Deaf
Sun King's Salvation,3,2.74823,Mechanically Deaf
Artificer Xy'mox,4,5.8243,Mechanically Deaf
Lady Inerva Darkvein,5,2.4507,Mechanically Deaf
The Council of Blood,6,8.20513,Mechanically Deaf
Sludgefist,7,2.85099,Mechanically Deaf
Stone Legion Generals,8,0.0274,Mechanically Deaf
Shriekwing,0,0.88931,Escort Service
Huntsman Altimor,1,2.12871,Escort Service
Hungering Destroyer,2,4.48663,Escort Service
Sun King's Salvation,3,3.56374,Escort Service
Artificer Xy'mox,4,2.69099,Escort Service
Lady Inerva Darkvein,5,4.71717,Escort Service
The Council of Blood,6,0.03029,Escort Service
Shriekwing,0,0.38135,SHIP IT
Huntsman Altimor,1,1.24529,SHIP IT
