,name,boss_num,prog_time,guild_name
0,Shriekwing,0,2.77778,BDGG
1,Huntsman Altimor,1,5.55556,BDGG
2,Hungering Destroyer,2,22.22222,BDGG
3,Sun King's Salvation,3,5.55556,BDGG
4,Artificer Xy'mox,4,2.77778,BDGG
5,Lady Inerva Darkvein,5,30.55556,BDGG
6,The Council of Blood,6,27.77778,BDGG
7,Sludgefist,7,0.0,BDGG
8,Stone Legion Generals,8,27.77778,BDGG
9,Sire Denathrius,9,5.55556,BDGG
0,Shriekwing,0,0.0,Blood Legion
1,Huntsman Altimor,1,0.0,Blood Legion
2,Hungering Destroyer,2,8.33333,Blood Legion
3,Sun King's Salvation,3,0.0,Blood Legion
4,Artificer Xy'mox,4,27.77778,Blood Legion
5,Lady Inerva Darkvein,5,5.55556,Blood Legion
6,The Council of Blood,6,52.77778,Blood Legion
7,Sludgefist,7,27.77778,Blood Legion
8,Stone Legion Generals,8,122.22224,Blood Legion
9,Sire Denathrius,9,19.44446,Blood Legion
0,Shriekwing,0,5.55556,Diversity Quota
1,Huntsman Altimor,1,2.77778,Diversity Quota
2,Hungering Destroyer,2,2.77778,Diversity Quota
3,Sun King's Salvation,3,5.55556,Diversity Quota
4,Artificer Xy'mox,4,5.55556,Diversity Quota
5,Lady Inerva Darkvein,5,5.55556,Diversity Quota
6,The Council of Blood,6,2.77778,Diversity Quota
7,Sludgefist,7,11.11112,Diversity Quota
8,Stone Legion Generals,8,16.66668,Diversity Quota
9,Sire Denathrius,9,13.8889,Diversity Quota
0,Sludgefist,7,5.55556,Practice
0,Shriekwing,0,0.0,Future
1,Huntsman Altimor,1,2.77778,Future
2,Hungering Destroyer,2,5.55556,Future
3,Sun King's Salvation,3,8.33334,Future
4,Artificer Xy'mox,4,5.55556,Future
5,Lady Inerva Darkvein,5,8.33333,Future
6,The Council of Blood,6,16.66666,Future
7,Sludgefist,7,19.44445,Future
8,Stone Legion Generals,8,25.00002,Future
0,Shriekwing,0,2.77778,Halcyon
1,Huntsman Altimor,1,2.77778,Halcyon
2,Hungering Destroyer,2,2.77778,Halcyon
3,Sun King's Salvation,3,2.77778,Halcyon
4,Artificer Xy'mox,4,8.33334,Halcyon
5,Lady Inerva Darkvein,5,2.77778,Halcyon
6,The Council of Blood,6,16.66668,Halcyon
7,Sludgefist,7,16.66668,Halcyon
8,Stone Legion Generals,8,33.33336,Halcyon
9,Sire Denathrius,9,19.44446,Halcyon
0,Shriekwing,0,0.0,FlashPoint KTB
1,Huntsman Altimor,1,0.0,FlashPoint KTB
2,Hungering Destroyer,2,2.77778,FlashPoint KTB
3,Sun King's Salvation,3,2.77778,FlashPoint KTB
4,Artificer Xy'mox,4,2.77778,FlashPoint KTB
5,Lady Inerva Darkvein,5,5.55556,FlashPoint KTB
6,Sludgefist,7,0.0,FlashPoint KTB
0,Shriekwing,0,0.0,Incarnate
1,Huntsman Altimor,1,0.0,Incarnate
2,Hungering Destroyer,2,0.0,Incarnate
3,Sun King's Salvation,3,2.77778,Incarnate
4,Artificer Xy'mox,4,2.77778,Incarnate
5,Lady Inerva Darkvein,5,0.0,Incarnate
6,The Council of Blood,6,0.0,Incarnate
7,Sludgefist,7,2.77778,Incarnate
8,Stone Legion Generals,8,8.33334,Incarnate
9,Sire Denathrius,9,5.55556,Incarnate
0,Shriekwing,0,0.0,Honestly
1,Huntsman Altimor,1,2.77778,Honestly
2,Hungering Destroyer,2,2.77778,Honestly
3,Sun King's Salvation,3,5.55556,Honestly
4,Artificer Xy'mox,4,11.11112,Honestly
5,Lady Inerva Darkvein,5,16.66668,Honestly
6,The Council of Blood,6,13.8889,Honestly
7,Sludgefist,7,13.8889,Honestly
8,Stone Legion Generals,8,28.7778,Honestly
9,Sire Denathrius,9,19.44446,Honestly
0,Shriekwing,0,0.0,Elicit
1,Huntsman Altimor,1,0.0,Elicit
2,Hungering Destroyer,2,0.0,Elicit
3,Sun King's Salvation,3,0.0,Elicit
4,Artificer Xy'mox,4,2.77778,Elicit
5,Lady Inerva Darkvein,5,0.0,Elicit
6,The Council of Blood,6,2.77778,Elicit
7,Sludgefist,7,5.55556,Elicit
8,Stone Legion Generals,8,5.55556,Elicit
9,Sire Denathrius,9,2.77778,Elicit
0,Shriekwing,0,2.77778,Unfortunate
1,Huntsman Altimor,1,0.0,Unfortunate
2,Hungering Destroyer,2,0.0,Unfortunate
3,Sun King's Salvation,3,0.0,Unfortunate
4,Artificer Xy'mox,4,0.0,Unfortunate
5,Lady Inerva Darkvein,5,0.0,Unfortunate
6,The Council of Blood,6,0.0,Unfortunate
7,Sludgefist,7,5.55556,Unfortunate
8,Stone Legion Generals,8,0.0,Unfortunate
9,Sire Denathrius,9,8.33334,Unfortunate
0,Shriekwing,0,2.77778,Restricted
1,Huntsman Altimor,1,2.77778,Restricted
2,Hungering Destroyer,2,5.55556,Restricted
3,Sun King's Salvation,3,5.55556,Restricted
4,Artificer Xy'mox,4,11.11112,Restricted
5,Lady Inerva Darkvein,5,11.11112,Restricted
6,The Council of Blood,6,11.11112,Restricted
7,Sludgefist,7,13.8889,Restricted
8,Stone Legion Generals,8,37.11114,Restricted
