,guild_name,daily_hours,weekly_hours
0,BDGG,3,5
0,Blood Legion,3,3
0,Diversity Quota,3,5
0,Future,5,25
0,Halcyon,3,3
0,FlashPoint KTB,3,3
0,Incarnate,3,3
0,Honestly,3,3
0,Elicit,3,3
0,Unfortunate,3,3
0,Restricted,3,8
0,CATASTROPHE,3,8
0,Hope n Despair,3,3
0,Northern Sky,3,3
0,The Next Step,3,8
0,Slack,3,5
0,NonSense,3,5
0,CyaThursday,3,3
0,Tony Halme Pro Skater,3,3
0,Security,3,5
0,Familiar with Drama,3,3
0,Oblivion,3,3
0,baited,3,5
0,Advance,3,3
0,SNYGGA POJKAR,3,3
0,Innominatum,0,0
0,Innervision,3,8
0,Myth,3,11
0,Dedicated Casuals,3,5
0,Waít for it,3,3
0,Quichons,3,3
0,The Amazing Zoo,3,5
0,Benched,3,5
0,Vision,3,5
0,Union,3,11
0,Infinity,3,3
0,Consequence,3,5
0,Polaris,3,3
0,vodka,3,3
0,Country Club,3,5
0,Fused,3,5
0,Melee Mechanics,3,5
0,Might,3,3
0,Wizards and Monkeys,3,3
0,didnt ask,3,11
0,Formality,3,3
0,Spike Flail,3,11
0,HC,3,8
0,Unity,5,5
0,Vigil,3,5
0,Muscle Memory,3,5
0,Lethal,3,3
0,Inside Voices,3,0
0,poptart corndoG,3,3
0,Essence,3,3
0,We Gucci,3,3
0,Focus Up,3,3
0,Idiot,3,8
0,Temerity,3,3
0,Deal With It,3,5
0,Honolulu,3,3
0,Okay Tier,3,8
0,Bloody Tearz,3,3
0,Wiping As Intended,3,3
0,Reformed,0,0
0,Just Kill the Boss,3,3
0,Norrlands Guld,3,3
0,Revenant,5,25
0,Humble,3,8
0,Rain,5,5
0,Awarëness,3,5
0,FASTz,3,8
0,Ethical,3,3
0,Medium,3,5
0,Relevant,3,3
0,Crimson,3,3
0,Mortal,3,8
0,Group Therapy,3,3
0,Stones,3,3
0,Mainframe,3,3
0,High Status,3,11
0,Invalid Target,3,3
0,Superbia,3,3
0,macht DRUCK,3,5
0,Schwingen des Phoenix,3,3
0,Pure,3,3
0,Colour,3,3
0,Sabotage,3,5
0,Adoria,3,3
0,TeamTilt,0,3
0,Fragglene,3,3
0,Integrity,3,3
0,Mythic Ravers,3,0
0,Competence Optional,3,3
0,Burden,3,3
0,Low Expectations,3,3
0,Ascendance,3,5
0,Amazing Stories,3,3
0,Sanity,3,8
0,Imperium,3,3
0,Arctic Avengers,3,5
0,Veneration,3,3
0,Ring Åklagarn,3,8
0,TED,3,5
0,Phoenix,3,8
0,Divinum,3,3
0,Versatile,3,5
0,vDo,3,5
0,Avem,3,5
0,Revivals,3,5
0,Catalyst,3,3
0,Internet Friends,3,8
0,Echoes,3,5
0,Inept,3,11
0,Last Resort,3,3
0,Epoch,3,5
0,Tyrannical,3,8
0,jokes on you,3,3
0,Imminent,3,14
0,The Reckless,3,3
0,Jade Falcons,3,5
0,Bad RNG,3,5
0,Lost Society,3,5
0,Wisp,3,3
0,Unethical,3,3
0,Blacklîsted,3,8
0,Solaris,3,5
0,Salty Tears,3,5
0,Aluren,3,3
0,Witness,3,5
0,Tyranny,3,5
0,Nurfed,3,3
0,Vindicatum,3,8
0,Warpath,3,3
0,Elusive,3,5
0,Washed Up Scrubs,3,5
0,Ookers,3,8
0,BibleBlack,3,8
0,Early Night,3,8
0,k m s,0,0
0,Unic,3,5
0,Konfluens,3,8
0,Unknown Entity,3,3
0,Glass Cannon,3,8
0,Flawless,3,8
0,Die Gummibärenbande,5,5
0,Evolution,3,5
0,Regelwerk,3,11
0,Feel the Difference,3,8
0,Vex Thal,3,8
0,stay hydrated,3,14
0,Reversio,3,3
0,Inner Sanctum,3,14
0,Blacklisted,3,14
0,Attero Dominatus,3,11
0,Unluck,3,3
0,Epsilon,3,0
0,Greta Ghuunberg,3,5
0,Ambid,3,5
0,Chainless,3,8
0,O M E G A,3,5
0,Anvil,3,8
0,OG Feedback,3,8
0,Helden in Pyjamas,3,8
0,Fade,3,11
0,Lost and Abandoned,3,5
0,Sometimes Gifted,3,5
0,Mójo,3,5
0,Grey Logs,3,5
0,Horde at være Alliance,3,3
0,The Knife,3,3
0,Hyped,3,3
0,Deposit Coin,3,5
0,Epos,3,3
0,No Hard Feelings,3,14
0,Distopia,3,3
0,Yes Lads,3,8
0,Stormwall,3,8
0,Pescorus,3,5
0,Htag La carpe,3,5
0,Loot FTW,3,8
0,Semantics,3,3
0,Denial of Service,3,3
0,yeehaw,3,3
0,Raiding Rainbows,3,8
0,Epic Wipe,3,8
0,Synthesis,3,5
0,Twisted Vortex,3,5
0,Fun Detected,3,8
0,Scythe,3,8
0,Moisty Boyz,3,8
0,Anger,3,11
0,Drainlife,3,8
0,Nascent,3,8
0,Proud Manlets,3,5
0,Obsidium,3,14
0,Decidedly Uncouth,3,5
0,Edict,3,8
0,Aero,3,5
0,SIGKILL,3,5
0,Adoration,3,11
0,Pogwarts,3,8
0,月刃,3,5
0,Frenzied Apes,3,3
0,Shelter,3,8
0,Tiras Valesh,3,8
0,Orden Inmortal,3,8
0,ToYz,3,5
0,One Tier Stand,3,3
0,Reload Dark,3,11
0,nVus,3,3
0,Ultra Instinct,3,5
0,GordoTiburonSi,3,8
0,Insight,3,8
0,Blur,3,8
0,Divergence,3,5
0,Wined N Dined,3,5
0,Defenestrate,3,3
0,DMG,3,3
0,Nerd Rage,3,14
0,Ascension,3,3
0,Goodlife,3,8
0,Perseus,3,5
0,Speakeasy,3,3
0,Disconnect,3,8
0,Guild of Stoven,3,8
0,the long nap,3,3
0,Barbershop Quartet,3,8
0,Merely A Setback,3,5
0,Hideout,0,0
0,Nyratic and Dytonic,3,5
0,Fangs of Fenris,3,5
0,Skepsis,3,5
0,Rude,3,3
0,External,3,8
0,Overraided,3,5
0,Mindset,3,5
0,Avalerion,3,5
0,Most Hated,0,3
0,TEAM TURbO,3,8
0,Mental Exiles,3,5
0,Reprogress Live,3,5
0,Raze,3,5
0,The Crab Bucket,3,5
0,LENG SQUAD,3,5
0,Redhands,3,0
0,Pepelands,3,3
0,Malorum,3,5
0,Back To Business,3,3
0,Axon Terminal,3,8
0,Curse of Years,3,8
0,Arise,3,5
0,A Necessary Evil,3,8
0,Les Croisés,3,3
0,Swiss Prime,3,5
0,Rederiet,3,3
0,Too Much Fun,3,5
0,Augure,3,5
0,Ad Elysium,3,14
0,Reverse Polarity,3,5
0,my bad I guess,3,3
0,Infinite,3,8
0,Bad Omen,3,5
0,Dead On my screen,3,5
0,Purified,3,8
0,UndisputeD,3,5
0,constant,3,8
0,Agony,3,3
0,Faded,3,3
0,V A N Q U I S H,3,5
0,Goldenglory,3,8
0,Tabbed Out,3,11
0,tmz,3,5
0,CV,3,5
0,Blasphemy,3,5
0,Noted,3,5
0,SOMA,3,5
0,No Big Deal,3,5
0,Euphoric,3,5
0,Resonate,3,8
